site1_index,site2_index,site1_element,site2_element,bond_distance,site1_coord_num,site2_coord_num,delta_electronegativity,delta_ionic_radius,sum_covalent_radii,avg_bader_charge,delta_bader_charge,bond_midpoint_density,bond_density_laplacian,bond_midpoint_elf,elf_type,bond_charge_transfer,bond_elf_from_0simplex,bond_elf_asymmetry,bond_density_from_0simplex,bond_density_gradient,bond_effective_charge,bond_charge_imbalance,lie_algebra_incompatibility,quotient_algebra_orbit_size,pseudo_symplectic_coupling,tensor_algebraic_environment_alignment,lie_algebraic_bond_alignment_a,lie_algebraic_bond_alignment_b,lie_algebraic_bond_alignment_c,delta_structure_chemistry_incompatibility,bond_ends_anisotropy_mismatch
13,29,Pb,I,3.264233317857071,6,5,0.8600000000000001,1.0100000000000002,2.77,0.17596100000000092,1.5162520000000086,0.18879283762848978,0.007368244196637256,0.3421703978939701,standard,1.5162520000000086,0.1419115584436605,0.08214130702113741,4221.4754063212895,1702.2804984456939,0.17596100000000092,-0.9999999999993404,11.8910961867165,16,1.1205478841966052,0.5819757880972455,0.3877648801964377,0.31410439068379237,0.2652165032181976,0.49959179749330085,0.036937230420474365
13,20,Pb,I,3.296475297374933,6,5,0.8600000000000001,1.0100000000000002,2.77,0.19668100000000166,1.4748120000000071,0.17956540597833148,0.013809612119710619,0.33872999110919905,standard,1.4748120000000071,0.1397997357414666,0.07791766161674961,4959.256842600544,1238.0125675616614,0.19668100000000166,-0.9999999999993219,2.651373635776087,16,1.122885698799617,0.55227838139216,0.3834171154209364,0.3282891307051536,0.25753717329761205,0.2727327998345608,0.05582494757589829
13,32,Pb,I,3.296499971020516,6,5,0.8600000000000001,1.0100000000000002,2.77,0.19668100000000166,1.4748120000000071,0.17955794957697616,0.007166767431352919,0.33872136758249527,standard,1.4748120000000071,0.1397997357414657,0.0779176616167478,4959.256842601337,1238.0033012837378,0.19668100000000166,-0.9999999999993219,2.6513736357727495,16,1.1202075933399163,0.5522783813922049,0.3834198665130733,0.3282874556698239,0.2575369464333154,0.27273279983462007,0.055824947575907946
13,33,Pb,I,3.4161098358722075,6,5,0.8600000000000001,1.0100000000000002,2.77,0.19668100000000166,1.4748120000000071,0.14467980711131684,0.005886304463841381,0.2746561941824322,standard,1.4748120000000071,0.1397997357414674,0.07791766161675122,4959.256842600463,1194.65650780662,0.19668100000000166,-0.9999999999993219,2.6513736357761166,16,1.1237237609291526,0.5522783813921613,0.24311673443846252,0.2756244898531851,0.5585458587259755,0.2727327998345539,0.0558249475758984
14,38,Pb,I,3.1048517364045063,6,5,0.8600000000000001,1.0100000000000002,2.77,0.1547495000000012,1.558675000000008,0.24956941153393136,0.007789798453920564,0.40928520975698934,standard,1.558675000000008,0.13847552593135298,0.0752688339212986,5705.125397557396,833.9659850824556,0.1547495000000012,-0.9999999999993584,24.636508710736624,16,1.123352328229946,0.5441087212365163,0.24311673443915222,0.2857489565625048,0.5187042925239305,0.2603687353199575,0.08288143356893163
14,18,Pb,I,3.2642083509806024,6,5,0.8600000000000001,1.0100000000000002,2.77,0.17596100000000092,1.5162520000000086,0.18880072069048462,0.007368437935171711,0.342180491911276,standard,1.5162520000000086,0.1393219279184521,0.07696163789549681,5172.210961919591,1119.7721515119674,0.17596100000000092,-0.9999999999993404,11.891096186718766,16,1.1205479286372921,0.581975788097285,0.38776207045410116,0.31410575780654576,0.26521686777803505,0.3992905469090515,0.03693723042047781
14,30,Pb,I,3.2642333178569145,6,5,0.8600000000000001,1.0100000000000002,2.77,0.17596100000000092,1.5162520000000086,0.1887928376285391,0.007368244196645035,0.34217187715425107,standard,1.5162520000000086,0.13932192791846684,0.07696163789552629,5172.2109619150915,1119.7635868043983,0.17596100000000092,-0.9999999999993404,11.891096186715384,16,1.1205478841966028,0.5819757880973212,0.38776488019643635,0.3141043906837945,0.26521650321819684,0.39929054690904797,0.03693723042046626
14,23,Pb,I,3.29647529737486,6,5,0.8600000000000001,1.0100000000000002,2.77,0.19668100000000166,1.4748120000000071,0.17956540597835194,0.007166915109480787,0.3387286907458599,standard,1.4748120000000071,0.13979955945772726,0.0779169009740471,4959.256842601832,1238.0125675585182,0.19668100000000166,-0.9999999999993219,2.6513736357733264,16,1.120207565749274,0.5522783813922018,0.38341711542091844,0.32828913070516014,0.25753717329761644,0.7601332039461951,0.055824947575904726
14,35,Pb,I,3.2964999710204332,6,5,0.8600000000000001,1.0100000000000002,2.77,0.19668100000000166,1.4748120000000071,0.1795579495770004,0.007166767431356457,0.3387200672257599,standard,1.4748120000000071,0.1397995594577269,0.07791690097404641,4959.256842598852,1238.003301282888,0.19668100000000166,-0.9999999999993219,2.65137363577279,16,1.120207593339917,0.5522783813922411,0.38341986651305593,0.3282874556698297,0.25753694643332004,0.7601332039463686,0.05582494757590195
14,34,Pb,I,3.416109835872257,6,5,0.8600000000000001,1.0100000000000002,2.77,0.19668100000000166,1.4748120000000071,0.14467980711130296,0.0058863044638411055,0.27465342883040905,standard,1.4748120000000071,0.1397995594577289,0.07791690097405041,4959.256842601775,1194.6565078035294,0.19668100000000166,-0.9999999999993219,2.651373635773407,16,1.1237237609291522,0.5522783813922022,0.24311673443846257,0.27562448985318383,0.5585458587259813,0.7601332039461983,0.05582494757590484
15,39,Pb,I,3.1048517364044526,6,5,0.8600000000000001,1.0100000000000002,2.77,0.1547495000000012,1.558675000000008,0.24956941153395332,0.007789798453915662,0.40928520975702803,standard,1.558675000000008,0.1384755259313474,0.0752688339212868,5705.125397556987,833.9659850875306,0.1547495000000012,-0.9999999999993584,24.636508710731476,16,1.1233523282299442,0.5441087212364593,0.24311673443915222,0.2857489565625086,0.5187042925239175,0.260368735319749,0.08288143356890432
15,19,Pb,I,3.264208350980701,6,5,0.8600000000000001,1.0100000000000002,2.77,0.17596100000000092,1.5162520000000086,0.18880072069045772,0.01424904585854573,0.3421804919113221,standard,1.5162520000000086,0.13932192791846199,0.076961637895516,5172.210961918674,1119.7721515170583,0.17596100000000092,-0.9999999999993404,11.891096186708962,16,1.1234174822929839,0.5819757880971252,0.38776207045411065,0.31410575780653704,0.2652168677780368,0.399290546908857,0.03693723042046171
